price,yearOfRegistration,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,postalCode,vehicleType_0,vehicleType_1,vehicleType_2,vehicleType_3,vehicleType_4,vehicleType_5,vehicleType_6,vehicleType_7,gearbox_0,gearbox_1
650,1995,102,11,150000,10,1,2,33775,0,0,0,0,0,0,1,0,0,1
2000,2004,105,10,150000,12,1,19,96224,0,0,0,0,0,0,1,0,0,1
2799,2005,140,160,150000,12,3,37,57290,0,0,0,0,0,1,0,0,0,1
999,1995,115,160,150000,11,1,37,37269,0,0,0,0,0,1,0,0,0,1
2500,2004,131,160,150000,2,1,37,90762,0,0,0,0,0,1,0,0,0,1
500,1990,118,39,150000,10,1,20,35390,0,0,0,0,0,0,1,0,0,1
7999,2007,177,6,150000,8,3,2,53604,0,0,0,0,0,0,1,0,0,1
1000,1998,101,113,150000,10,1,37,39624,0,0,0,0,0,0,1,0,0,1
2300,1997,150,15,150000,3,1,2,79341,0,0,0,0,0,0,1,0,0,1
7999,2008,156,57,150000,10,1,20,83355,0,0,0,0,0,1,0,0,0,1
6600,2006,105,113,150000,10,3,37,41812,0,0,0,0,0,0,1,0,0,1
3300,2005,150,57,150000,9,3,20,29221,0,0,0,0,0,1,0,0,0,1
3850,2003,131,160,150000,5,3,37,30459,0,0,0,0,0,0,1,0,0,1
1500,2006,109,100,150000,10,3,10,74223,0,0,0,0,0,1,0,0,0,1
499,1995,101,28,150000,5,1,1,85414,0,0,0,0,0,0,1,0,0,1
6500,2004,163,28,150000,4,3,1,97450,0,0,0,0,0,0,1,0,0,1
900,1999,125,57,150000,7,3,20,37130,0,0,0,0,0,1,0,0,0,1
1300,1997,101,160,150000,10,1,37,4277,0,0,0,0,0,1,0,0,0,1
5950,2006,163,11,150000,1,3,2,63526,0,0,0,0,0,0,1,0,0,1
400,2000,144,155,150000,10,1,24,45968,0,0,0,0,0,0,1,0,0,1
7000,2003,120,194,150000,5,1,20,57578,0,0,0,0,0,0,1,0,0,1
2750,2001,131,160,150000,12,3,37,90471,0,0,0,0,0,1,0,0,0,1
2499,2003,110,70,150000,12,1,11,42853,0,0,0,0,0,0,1,0,0,1
3450,2007,120,2,150000,4,3,0,86678,0,0,0,0,0,0,1,0,0,1
350,1996,122,57,150000,9,1,20,49685,0,0,0,0,0,0,1,0,0,1
2300,2000,160,57,150000,5,1,20,40231,0,0,0,0,0,0,1,0,0,1
1250,1996,125,27,150000,9,1,1,63811,0,0,0,0,0,0,1,0,0,1
800,2002,115,148,150000,12,3,10,34253,0,0,0,0,0,1,0,0,0,1
5499,2004,122,57,150000,9,3,20,60318,0,0,0,0,0,1,0,0,0,1
5500,2000,170,11,150000,5,1,2,41470,0,0,0,0,0,0,1,0,0,1
9200,2006,150,11,150000,1,1,2,85659,0,0,0,0,0,1,0,0,0,1
1200,1997,101,113,150000,1,1,37,10777,0,0,0,0,0,0,1,0,0,1
650,2002,101,219,150000,1,1,24,16816,0,0,0,0,0,0,1,0,0,1
800,2000,118,11,150000,9,1,2,51647,0,0,0,0,0,1,0,0,0,1
4500,2007,140,160,150000,11,3,37,93437,0,0,0,0,0,1,0,0,0,1
3900,2003,131,160,150000,4,1,37,39218,0,0,0,0,0,1,0,0,0,1
750,2000,101,160,150000,3,1,37,23758,0,0,0,0,0,1,0,0,0,1
1100,2000,116,113,150000,4,1,37,90439,0,0,0,0,0,0,1,0,0,1
890,2000,107,144,150000,6,1,27,41065,0,0,0,0,0,0,1,0,0,1
2650,2004,125,42,150000,6,1,24,96528,0,0,0,0,0,0,1,0,0,1
7150,2002,150,93,150000,3,3,20,70619,0,0,0,0,0,0,1,0,0,1
7950,2008,140,27,150000,10,3,1,26419,0,0,0,0,0,0,1,0,0,1
7700,2009,185,10,150000,5,3,19,35510,0,0,0,0,0,0,1,0,0,1
4950,2009,109,116,150000,9,1,12,87439,0,0,0,0,0,1,0,0,0,1
1700,1999,101,113,150000,6,1,37,37619,0,0,0,0,0,0,1,0,0,1
3900,2006,102,154,150000,11,6,31,26419,0,0,0,0,0,1,0,0,0,1
500,2001,131,148,150000,12,3,10,66117,0,0,0,0,0,1,0,0,0,1
3200,2008,110,42,150000,5,3,24,47495,0,0,0,0,0,1,0,0,0,1
3250,2003,163,30,150000,4,3,1,40789,0,0,0,0,0,1,0,0,0,1
1750,2002,125,219,150000,4,3,24,73431,0,0,0,0,0,0,1,0,0,1
7000,2007,143,6,150000,9,1,2,85375,0,0,0,0,0,0,1,0,0,1
2000,1998,115,42,150000,12,1,24,86859,0,0,0,0,0,1,0,0,0,1
4000,2004,203,39,150000,9,6,15,23558,0,0,0,0,0,0,1,0,0,1
650,2000,144,155,150000,4,1,24,72820,0,0,0,0,0,1,0,0,0,1
2350,2003,143,11,150000,4,1,2,65558,0,0,0,0,0,0,1,0,0,1
2400,1997,125,160,150000,7,1,37,88161,0,0,0,0,0,1,0,0,0,1
890,2002,101,219,150000,4,3,24,82054,0,0,0,0,0,1,0,0,0,1
2990,2006,105,2,150000,6,1,0,74912,0,0,0,0,0,0,1,0,0,1
550,1995,130,11,150000,5,1,2,73431,0,0,0,0,0,0,1,0,0,1
7900,2009,170,27,150000,6,3,1,32839,0,0,0,0,0,0,1,0,0,1
3299,2002,143,11,150000,9,1,2,8060,0,0,0,0,0,1,0,0,0,1
6500,2007,170,28,150000,12,3,1,72186,0,0,0,0,0,1,0,0,0,1
6500,2009,140,160,150000,11,3,37,58093,0,0,0,0,0,1,0,0,0,1
1450,2001,125,148,150000,10,1,10,68647,0,0,0,0,0,1,0,0,0,1
800,1998,101,160,150000,3,1,37,8309,0,0,0,0,0,1,0,0,0,1
4999,1999,170,11,150000,10,1,2,80995,0,0,0,0,0,0,1,0,0,1
3999,2003,102,160,150000,4,6,37,27711,0,0,0,0,0,0,1,0,0,1
600,1994,105,16,150000,4,1,19,30627,0,0,0,0,0,0,1,0,0,1
