yearOfRegistration,powerPS,model,kilometer,monthOfRegistration,fuelType,brand,postalCode,vehicleType_0,vehicleType_1,vehicleType_2,vehicleType_3,vehicleType_4,vehicleType_5,vehicleType_6,vehicleType_7,gearbox_0,gearbox_1
2006,163,15,150000,4,3,2,22309,0,0,0,0,0,0,1,0,1,0
2001,101,113,150000,9,3,37,27570,0,0,0,0,0,1,0,0,1,0
2002,145,148,150000,4,1,10,22459,0,0,0,0,0,0,1,0,1,0
2008,190,30,150000,8,3,1,32278,0,0,0,0,0,1,0,0,1,0
2006,173,11,150000,3,1,2,90473,0,0,0,0,0,0,1,0,0,1
2011,184,15,125000,4,3,2,80935,0,0,0,0,0,1,0,0,1,0
2001,131,28,150000,6,1,1,81243,0,0,0,0,0,0,1,0,0,1
2004,170,15,150000,1,1,2,45326,0,0,0,0,0,0,1,0,0,1
2005,224,93,150000,11,1,20,61352,0,0,0,0,0,0,1,0,1,0
2004,170,57,150000,5,3,20,21394,0,0,0,0,0,1,0,0,1,0
2005,135,132,150000,10,1,22,83451,0,0,0,0,0,1,0,0,0,1
2010,150,15,150000,7,3,2,50767,0,0,0,0,0,0,1,0,1,0
2001,218,57,150000,5,1,20,60386,0,0,0,0,0,0,1,0,1,0
1998,118,11,150000,10,1,2,84478,0,0,0,0,0,0,1,0,0,1
2017,150,221,150000,2,3,20,22547,0,0,0,0,0,1,0,0,1,0
2006,140,27,150000,6,3,1,47249,0,0,0,0,0,0,1,0,1,0
2009,109,67,125000,8,1,15,56410,0,0,0,0,0,0,1,0,0,1
2010,110,42,150000,4,3,24,45888,0,0,0,0,0,1,0,0,0,1
1997,170,11,150000,1,1,2,32139,0,0,0,0,0,0,1,0,0,1
2004,140,27,150000,4,3,1,76139,0,0,0,0,0,0,1,0,0,1
2007,177,15,150000,7,3,2,12043,0,0,0,0,0,0,1,0,1,0
2006,109,10,150000,3,3,25,88499,0,0,0,0,0,0,1,0,0,1
1999,105,11,150000,5,1,2,70188,0,0,0,0,0,0,1,0,0,1
